epoch,train_loss,val_loss,val_acc
1,0.5406,0.5399,0.7575
2,0.5246,0.5407,0.7575
3,0.5123,0.5411,0.7575
4,0.5063,0.5432,0.7575
5,0.5014,0.5435,0.7575
6,0.4960,0.5448,0.7550
7,0.4943,0.5463,0.7525
8,0.4892,0.5466,0.7575
9,0.4797,0.5482,0.7525
10,0.4700,0.5507,0.7550
11,0.4701,0.5513,0.7525
12,0.4648,0.5530,0.7525
13,0.4571,0.5545,0.7500
14,0.4629,0.5553,0.7500
15,0.4548,0.5566,0.7525
16,0.4580,0.5577,0.7500
17,0.4463,0.5587,0.7525
18,0.4536,0.5589,0.7525
19,0.4444,0.5598,0.7525
20,0.4452,0.5610,0.7500
21,0.4422,0.5616,0.7500
22,0.4428,0.5621,0.7475
23,0.4352,0.5621,0.7475
24,0.4340,0.5627,0.7475
25,0.4382,0.5630,0.7475
26,0.4360,0.5631,0.7475
27,0.4374,0.5633,0.7475
28,0.4403,0.5634,0.7475
29,0.4331,0.5635,0.7475
30,0.4392,0.5635,0.7475
