epoch,train_sup_loss,train_con_loss,train_total_loss,val_loss,val_acc,val_f1
1,0.6928,0.0000,0.6928,0.6788,0.6725,0.6710
2,0.6697,0.0000,0.6697,0.6560,0.7075,0.7074
3,0.6419,0.0000,0.6419,0.6204,0.7225,0.7220
4,0.6111,0.0000,0.6111,0.5824,0.7400,0.7399
5,0.5930,0.0000,0.5930,0.5563,0.7475,0.7470
6,0.5728,0.0017,0.5739,0.5401,0.7450,0.7446
7,0.5621,0.0081,0.5669,0.5285,0.7400,0.7389
8,0.5517,0.0158,0.5612,0.5233,0.7350,0.7346
9,0.5452,0.0292,0.5627,0.5213,0.7350,0.7347
10,0.5218,0.0195,0.5336,0.5195,0.7475,0.7470
11,0.5267,0.0352,0.5478,0.5193,0.7475,0.7472
12,0.5012,0.0223,0.5146,0.5217,0.7550,0.7544
13,0.5016,0.0186,0.5128,0.5209,0.7475,0.7472
14,0.4839,0.0307,0.5023,0.5225,0.7400,0.7398
15,0.4652,0.0304,0.4834,0.5257,0.7525,0.7521
16,0.4578,0.0280,0.4747,0.5296,0.7475,0.7473
17,0.4567,0.0268,0.4728,0.5319,0.7500,0.7496
18,0.4430,0.0319,0.4622,0.5339,0.7525,0.7523
19,0.4416,0.0280,0.4584,0.5359,0.7475,0.7471
20,0.4222,0.0273,0.4386,0.5392,0.7475,0.7472
21,0.4277,0.0419,0.4529,0.5379,0.7400,0.7397
22,0.4224,0.0374,0.4448,0.5384,0.7375,0.7371
23,0.4071,0.0331,0.4270,0.5433,0.7525,0.7524
24,0.4036,0.0313,0.4224,0.5468,0.7475,0.7473
25,0.3948,0.0294,0.4124,0.5519,0.7425,0.7423
26,0.3987,0.0261,0.4144,0.5508,0.7450,0.7448
27,0.3877,0.0431,0.4136,0.5542,0.7500,0.7498
28,0.3831,0.0420,0.4083,0.5573,0.7500,0.7498
29,0.3686,0.0288,0.3859,0.5581,0.7500,0.7498
30,0.3747,0.0399,0.3987,0.5585,0.7475,0.7473
