epoch,train_loss,val_loss,val_acc,val_f1
1,0.1483,0.5194,0.8425,0.8425
2,0.1381,0.4960,0.8500,0.8500
3,0.1375,0.4807,0.8475,0.8475
4,0.1401,0.5207,0.8450,0.8449
5,0.1368,0.5556,0.8425,0.8424
6,0.1379,0.5636,0.8425,0.8424
7,0.1373,0.5054,0.8425,0.8425
8,0.1335,0.5479,0.8400,0.8400
9,0.1349,0.5036,0.8425,0.8424
10,0.1401,0.5317,0.8475,0.8475
11,0.1364,0.4645,0.8450,0.8450
12,0.1340,0.5684,0.8400,0.8400
13,0.1374,0.5213,0.8425,0.8425
14,0.1393,0.5221,0.8475,0.8475
15,0.1429,0.5033,0.8400,0.8399
16,0.1399,0.5202,0.8475,0.8475
17,0.1335,0.5334,0.8475,0.8475
18,0.1405,0.5068,0.8475,0.8475
19,0.1367,0.5266,0.8450,0.8450
20,0.1368,0.4910,0.8475,0.8475
21,0.1417,0.4727,0.8400,0.8400
22,0.1314,0.5620,0.8475,0.8475
23,0.1341,0.5741,0.8425,0.8425
24,0.1351,0.5152,0.8425,0.8425
25,0.1339,0.5275,0.8450,0.8450
26,0.1374,0.4798,0.8450,0.8450
27,0.1330,0.5562,0.8425,0.8425
28,0.1337,0.5217,0.8400,0.8400
29,0.1338,0.5517,0.8400,0.8399
30,0.1346,0.5355,0.8475,0.8475
