epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.4007,0.4740,0.8600,0.8600,3.33e-05
2,0.2750,0.4650,0.8600,0.8600,6.67e-05
3,0.2753,0.4562,0.8650,0.8650,1.00e-04
4,0.2787,0.4699,0.8625,0.8625,9.97e-05
5,0.2753,0.4638,0.8575,0.8575,9.87e-05
6,0.2733,0.4642,0.8625,0.8625,9.70e-05
7,0.2743,0.4657,0.8600,0.8600,9.47e-05
8,0.2723,0.4660,0.8575,0.8575,9.18e-05
9,0.2742,0.4608,0.8625,0.8625,8.83e-05
10,0.2747,0.4621,0.8575,0.8575,8.43e-05
11,0.2780,0.4600,0.8625,0.8625,7.99e-05
12,0.2723,0.4663,0.8625,0.8625,7.50e-05
13,0.2731,0.4694,0.8625,0.8625,6.98e-05
14,0.2744,0.4585,0.8625,0.8625,6.43e-05
15,0.2723,0.4737,0.8625,0.8625,5.87e-05
16,0.2746,0.4682,0.8625,0.8625,5.29e-05
17,0.2725,0.4778,0.8625,0.8625,4.71e-05
18,0.2754,0.4639,0.8625,0.8625,4.13e-05
19,0.2751,0.4633,0.8575,0.8575,3.57e-05
20,0.2745,0.4574,0.8575,0.8575,3.02e-05
21,0.2779,0.4614,0.8575,0.8575,2.50e-05
22,0.2736,0.4760,0.8575,0.8575,2.01e-05
23,0.2720,0.4659,0.8575,0.8575,1.57e-05
24,0.2730,0.4664,0.8575,0.8575,1.17e-05
25,0.2699,0.4660,0.8575,0.8575,8.23e-06
26,0.2709,0.4669,0.8575,0.8575,5.32e-06
27,0.2749,0.4643,0.8575,0.8575,3.02e-06
28,0.2737,0.4645,0.8575,0.8575,1.35e-06
29,0.2749,0.4644,0.8575,0.8575,3.38e-07
30,0.2728,0.4645,0.8575,0.8575,0.00e+00
