epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.2742,0.4784,0.8400,0.8400,1.34e-06
2,0.2719,0.4919,0.8325,0.8325,1.99e-06
3,0.2724,0.4920,0.8350,0.8350,1.94e-06
4,0.2710,0.4948,0.8350,0.8350,1.84e-06
5,0.2722,0.4863,0.8350,0.8350,1.69e-06
6,0.2698,0.4886,0.8325,0.8324,1.50e-06
7,0.2708,0.4816,0.8350,0.8350,1.29e-06
8,0.2726,0.4887,0.8350,0.8350,1.06e-06
9,0.2716,0.4887,0.8350,0.8350,8.26e-07
10,0.2702,0.4800,0.8350,0.8350,6.04e-07
11,0.2724,0.4805,0.8350,0.8350,4.03e-07
12,0.2706,0.4898,0.8350,0.8350,2.34e-07
13,0.2699,0.4872,0.8350,0.8350,1.06e-07
14,0.2694,0.4869,0.8350,0.8350,2.69e-08
15,0.2696,0.4870,0.8350,0.8350,0.00e+00
